L	X	Y	K1	K2	K3	K4	Yexato	Erro
0	0,0	1,0	-0,0	-0,05	-0,049875	-0,09950125	1,0	0,0
1	0,1	1,0	-0,1	-0,14925000000000002	-0,14888062500000002	-0,1970223875	0,9950124791926823	0,5012520859401057
2	0,2	0,99	-0,198	-0,245025	-0,24443718749999999	-0,28966688437500004	0,9801986733067553	0,9999326626488294
3	0,30000000000000004	0,9702	-0,29106000000000004	-0,33447645	-0,333716662125	-0,374731333515	0,9559974818330998	1,4856229683437188
4	0,4	0,941094	-0,37643760000000004	-0,41502245400000004	-0,414154294785	-0,44983928526075	0,9231163463866358	1,947495966649746
5	0,5	0,90345024	-0,45172512	-0,48447519120000004	-0,483574564242	-0,5130556701454799	0,8824969025845955	2,3743241878852865
6	0,6000000000000001	0,858277728	-0,5149666368000001	-0,5411441075040001	-0,5402933397061201	-0,5629738758205717	0,835270211411272	2,754499834233826
7	0,7000000000000001	0,80678106432	-0,564746745024	-0,5839077953016001	-0,5831892559161901	-0,5987697109827048	0,7827045382418681	3,0760682865354476
8	0,8	0,7503063898176	-0,60024511185408	-0,6122500140911616	-0,6117398057460857	-0,6202191683186923	0,7261490370736909	3,3267761176494592
9	0,9	0,690281878632192	-0,6212536907689729	-0,6262582343890563	-0,6260205185671023	-0,6276798267754818	0,6669768108584744	3,494134637712728
10	1,0	0,6281565095552948	-0,6281565095552948	-0,6265861182814065	-0,6266685638232857	-0,6220386184902629	0,6065306597126334	3,56549986325628
11	1,1	0,5653408585997654	-0,6218749444597419	-0,614384178083295	-0,6148148971499408	-0,6046312426617255	0,5460744266397094	3,5281696084199923
12	1,2000000000000002	0,5031533641537912	-0,6037840369845495	-0,5912052028807048	-0,5919913800121951	-0,5771404939983433	0,48675225595997157	3,3694981364746632
13	1,3	0,44277496045533626	-0,5756074485919371	-0,5588926938347483	-0,5600209397808585	-0,5414820130681506	0,4295573582107391	3,0770284787235953
14	1,4000000000000001	0,38521421559614255	-0,5392999018345996	-0,5194613697313982	-0,5208996633088804	-0,49968637389788184	0,37531109885139946	2,6386421225086463
15	1,5	0,3312842254126826	-0,49692633811902387	-0,4749787581854337	-0,47667969563028695	-0,45378600935944624	0,32465246735834974	2,0427252896903934
16	1,6	0,2815915916007802	-0,4505465465612483	-0,4274560360499844	-0,4293610031671636	-0,40571433518290856	0,2780373004531941	1,2783504737647389
17	1,7000000000000002	0,23653693694465533	-0,4021127928059141	-0,3787547702826294	-0,3807985972534168	-0,35722273899476464	0,23574607655586347	0,33547128348685723
18	1,8	0,1963256576640639	-0,35338618379531506	-0,3305142446774516	-0,33262989904585394	-0,3098190687430092	0,19789869908361465	-0,7948720364685788
19	1,9000000000000001	0,1609870392845324	-0,3058753746406116	-0,28410187757737854	-0,2862247935410438	-0,264729119860856	0,16447445657715487	-2,1203397568220748
20	2,0	0,13039950182047125	-0,2607990036409425	-0,24058708085876943	-0,24265880294394215	-0,22288060520476177	0,1353352832366127	-3,6470765775928577
21	2,1	0,104319601456377	-0,21907116305839172	-0,20073699310243345	-0,20270791637269897	-0,18490738160203565	0,11025052530448522	-5,379497133214051
22	2,2	0,08241248515053783	-0,18130746733118322	-0,165031001513952	-0,16686210391839051	-0,1511704319450072	0,0889216174593863	-7,320078620726203
23	2,3000000000000003	0,0642817384174195	-0,14784799836006488	-0,13368994547362822	-0,13535351668778453	-0,12179132819673855	0,07100535373963694	-9,469166715050315
24	2,4000000000000004	0,04949693858141302	-0,11879265259539126	-0,10671539958152647	-0,10819486307572491	-0,09669363068460134	0,05613476283413368	-11,82480145562211
25	2,5	0,03761767332187389	-0,09404418330468473	-0,08393443359943112	-0,08522342668685094	-0,07564785969829088	0,04393693362340742	-14,382570153159113
26	2,6	0,02821325499140542	-0,07335446297765409	-0,0650456593826852	-0,06614657585901856	-0,058316212994859624	0,03404745473459933	-17,135494528656043
27	2,7	0,02087780869364001	-0,056370083472828035	-0,04966308742999617	-0,05058529938588556	-0,04429398051414408	0,026121409853918223	-20,07395921430967
28	2,8000000000000003	0,015240800346357209	-0,04267424096980019	-0,03735520164892152	-0,03811316475214673	-0,03314550322631336	0,01984109474437027	-23,18568837699015
29	2,9000000000000004	0,010973376249377189	-0,031822791123193854	-0,027677598244991615	-0,028289014194526445	-0,024433424489773637	0,014920786069067828	-26,455776534950697
30	3,0	0,007791097137057804	-0,023373291411173412	-0,020198419327822355	-0,02068258732053339	-0,01774079905551384	0,011108996538242306	-29,866778603834806
31	3,1	0,005453767995940462	-0,016906680787415432	-0,014516566963194524	-0,014893009890509318	-0,012686294422046496	0,008188701014374074	-33,39886281881381
32	3,2	0,0037630999171989186	-0,01204191973503654	-0,010273262773953048	-0,010560669530129114	-0,008933208781813824	0,0059760228950059375	-37,03002844343722
33	3,3000000000000003	0,0025589079436952643	-0,008444396214194372	-0,007157905245501578	-0,0073733924827576215	-0,006193333564426307	0,004317840007633075	-40,73638812064299
34	3,4000000000000004	0,001714468322275827	-0,005829192295737812	-0,00490938004083683	-0,00506804765480725	-0,004226822448782857	0,003088715408236766	-44,492512398396926
35	3,5	0,0011315490927020456	-0,003960421824457159	-0,003314024405251116	-0,003428759947160189	-0,0028392231527496967	0,002187491118182885	-48,27183144670293
36	3,6	7,355069102563297E-4	-0,002647824876922787	-0,002201372182397194	-0,002282849799148115	-0,0018767211422636174	0,001533810679324463	-52,04708637311945
37	3,7	4,7072442256405097E-4	-0,0017416803634869888	-0,0014386515164613806	-0,0014954694252786822	-0,0012204744241374945	0,0010647662366679196	-55,79081996090181
38	3,8000000000000003	2,965563862153521E-4	-0,001126914267618338	-9,248110904125754E-4	-9,637159520246849E-4	-7,807206849502461E-4	7,318024188804721E-4	-59,47589423535511
39	3,9000000000000004	1,8386495945351826E-4	-7,170733418687213E-4	-5,846446048223247E-4	-6,10799280388988E-4	-4,911401256584778E-4	4,97955421503273E-4	-63,07602015890297
40	4,0	1,1215762526664612E-4	-4,486305010665845E-4	-3,633907058639334E-4	-3,8065176439247024E-4	-3,037790401923363E-4	3,3546262790251185E-4	-66,56628311537581
41	4,1000000000000005	6,729457515998767E-5	-2,7590775815594947E-4	-2,2202162709658932E-4	-2,3320299929140657E-4	-1,8469195596955743E-4	2,2374579372061977E-4	-69,92364681321561
42	4,2	3,9703799344392715E-5	-1,667559572464494E-4	-1,3330550629879853E-4	-1,4041372712517435E-4	-1,103484345170637E-4	1,4774836023203364E-4	-73,12741794085613
43	4,3	2,3028203619747772E-5	-9,902127556491542E-5	-7,86355583105337E-5	-8,306945181336172E-5	-6,477353712901103E-5	9,659341372218401E-5	-76,15965443981506
44	4,4	1,312607606325623E-5	-5,7754734678327414E-5	-4,556061001556237E-5	-4,8273802753027595E-5	-3,734413104579061E-5	6,252150377482015E-5	-79,00550167422138
45	4,5	7,350602595423488E-6	-3,3077711679405696E-5	-2,5920062402112075E-5	-2,7548427612696372E-5	-2,1140495237107712E-5	4,006529739295107E-5	-81,65344306987043
46	4,6000000000000005	4,042831427482918E-6	-1,8597024566421426E-5	-1,4475357926102591E-5	-1,543364541997672E-5	-1,1747494361780658E-5	2,5419346516199203E-5	-84,09545491302654
47	4,7	2,1831289708407757E-6	-1,0260706162951646E-5	-7,932944897792669E-6	-8,485788198267926E-6	-6,405840724867118E-6	1,5966783897804717E-5	-86,32705881902156
48	4,800000000000001	1,157058354545611E-6	-5,5538801018189335E-6	-4,264917094855123E-6	-4,577490624043846E-6	-3,426615531492009E-6	9,929504305851046E-6	-88,34726972358727
49	4,9	6,016703443637176E-7	-2,9481846873822165E-6	-2,248592494473304E-6	-2,4217415622182595E-6	-1,7974809407094583E-6	6,113567966371391E-6	-90,15844188412893
50	5,0	3,06851875625496E-7	-1,5342593781274798E-6	-1,1622014789315661E-6	-1,2561460984785343E-6	-9,243100554659769E-7	3,726653172078671E-6	-91,76602003308135
51	5,1000000000000005	1,53425937812748E-7	-7,824722828450148E-7	-5,886569669030608E-7	-6,385644107581141E-7	-4,6576138303207025E-7	2,2490559670323387E-6	-93,17820720952552
52	5,2	7,517870952824649E-8	-3,909292895468818E-7	-2,920692865172376E-7	-3,180200373125192E-7	-2,298965407240712E-7	1,343812277631519E-6	-94,40556461794279
53	5,300000000000001	3,6085780573558314E-8	-1,912546370398591E-7	-1,4189831066037468E-7	-1,5510112796688678E-7	-1,1110860599509604E-7	7,949393615349112E-7	-95,46056185922383
54	5,4	1,6960316869572404E-8	-9,158571109569099E-8	-6,74766206655938E-8	-7,40463478077953E-8	-5,2556251488360804E-8	4,655715715783078E-7	-96,35709783308371
55	5,5	7,801745760003305E-9	-4,290960168001818E-8	-3,13922745018133E-8	-3,458833279376515E-8	-2,4320309891510027E-8	2,6995785033630146E-7	-97,11001337790908
56	5,6000000000000005	3,510785592001487E-9	-1,966039931520833E-8	-1,4281875788262051E-8	-1,5801308684624375E-8	-1,1004731924172584E-8	1,5497531357028912E-7	-97,73461623588896
57	5,7	1,5447456604806541E-9	-8,805050264739729E-9	-6,350835596651089E-9	-7,056422313726574E-9	-4,866799888826381E-9	8,808179196460557E-8	-98,24623724605718
58	5,800000000000001	6,642406340066812E-10	-3,8525956772387515E-9	-2,7589234733467506E-9	-3,078822592985161E-9	-2,1025144107781743E-9	4,95640531917248E-8	-98,65983390939145
59	5,9	2,7898106628280606E-10	-1,645988291068556E-9	-1,1702558277898006E-9	-1,3117862356152304E-9	-8,86814656327698E-10	2,761242456828035E-8	-98,98965385820091
60	6,0	1,1438223717595046E-10	-6,862934230557027E-10	-4,844087744401501E-10	-5,454788806463548E-10	-3,649895295790213E-10	1,522997974471263E-8	-99,24896658371682
61	6,1000000000000005	4,575289487038017E-11	-2,790926587093191E-10	-1,9555931089972246E-10	-2,212458153511734E-10	-1,4649554267862956E-10	8,316702456828303E-9	-99,44986735899377
62	6,2	1,7843628999448262E-11	-1,1063049979657923E-10	-7,695065006012063E-11	-8,747560310276394E-11	-5,7305232741782765E-11	4,4963494622808535E-9	-99,60315297667285
